iter	MultiClass
0	0.9633319677
1	0.8627670188
2	0.7786514213
3	0.712789723
4	0.6587253859
5	0.6051421926
6	0.5651516979
7	0.5301316973
8	0.4982993294
9	0.4708642635
10	0.4431310868
11	0.4204117217
12	0.3992194462
13	0.377361761
14	0.3581493894
15	0.341745605
16	0.3296808684
17	0.314301245
18	0.3034869438
19	0.2933352699
20	0.2816195395
21	0.2699837127
22	0.2624362816
23	0.2508434665
24	0.2440961364
25	0.2371317267
26	0.2315046934
27	0.2243251639
28	0.2201983402
29	0.2119360479
30	0.2089190756
31	0.2039381291
32	0.1977007946
33	0.1929435796
34	0.1887595549
35	0.1864376312
36	0.1822144686
37	0.1773941406
38	0.1736387161
39	0.1696440696
40	0.1658544138
41	0.1630179131
42	0.1594366476
43	0.1572197839
44	0.1538915643
45	0.1500672965
46	0.1479445076
47	0.1458448601
48	0.1421822151
49	0.139777005
50	0.1370514708
51	0.1350712484
52	0.1322216727
53	0.1302125219
54	0.1282385767
55	0.1265237253
56	0.124531161
57	0.1228758503
58	0.1201687443
59	0.1182428297
60	0.1166666855
61	0.1150379044
62	0.1132563573
63	0.1119661353
64	0.1106265147
65	0.1091551305
66	0.1076118947
67	0.1051628497
68	0.1039914184
69	0.1025005911
70	0.1006374359
71	0.09966215228
72	0.09869506471
73	0.09727577481
74	0.09553126263
75	0.09429715405
76	0.09231357335
77	0.09065099474
78	0.08920694311
79	0.08839476348
80	0.08753960773
81	0.08689571654
82	0.08612576433
83	0.08477738715
84	0.08354606403
85	0.08265039624
86	0.0821614759
87	0.08117238987
88	0.08030680674
89	0.07917326844
90	0.07869456722
91	0.07777114878
92	0.0770631952
93	0.07614322806
94	0.07508650499
95	0.07421537657
96	0.07376166177
97	0.07256075204
98	0.07113863183
99	0.06999851111
100	0.06859580074
101	0.06740129871
102	0.06680791679
103	0.06626153576
104	0.0658233589
105	0.06521537167
106	0.0643809906
107	0.06373497095
108	0.06297745255
109	0.06248693471
110	0.06155934991
111	0.06127122104
112	0.06049593063
113	0.05948074795
114	0.05931690277
115	0.05821958993
116	0.05742438855
117	0.05688245066
118	0.056068855
119	0.0556443347
120	0.05497046655
121	0.05451692551
122	0.05427348022
123	0.05356814851
124	0.05330952056
125	0.05253039652
126	0.05204842002
127	0.05178553981
128	0.05114601737
129	0.05069039954
130	0.05020431102
131	0.04949745056
132	0.04906229975
133	0.04848075087
134	0.04823450901
135	0.04759546859
136	0.04735624703
137	0.04688352503
138	0.04659792726
139	0.04602403485
140	0.04564923899
141	0.04522821053
142	0.04487324515
143	0.04441838034
144	0.04405248778
145	0.04370542233
146	0.04307888702
147	0.04274129962
148	0.04207760706
149	0.04179411566
150	0.04137663957
151	0.04124222721
152	0.04106876245
153	0.0406398427
154	0.04020812118
155	0.04006102314
156	0.03962664009
157	0.03942636252
158	0.03916840498
159	0.03864919797
160	0.0383527987
161	0.03801727571
162	0.03759048549
163	0.03726027528
164	0.03696363615
165	0.03675462489
166	0.03642329915
167	0.0361088021
168	0.03581867821
169	0.03545093104
170	0.03523332566
171	0.03503805515
172	0.0346588397
173	0.03436373358
174	0.03387414907
175	0.03379070696
176	0.0337039288
177	0.03345750193
178	0.03333042306
179	0.03296574592
180	0.03248841896
181	0.03211404971
182	0.03190827123
183	0.03164257137
184	0.03134695623
185	0.03111507425
186	0.03086340853
187	0.0306702979
188	0.03041473649
189	0.03010099259
190	0.0299626984
191	0.02970126091
192	0.02950729527
193	0.02939399434
194	0.02913330724
195	0.02893710153
196	0.02864469686
197	0.02843986039
198	0.02824339162
199	0.02809814776
